"benchmark","benchmark id","expected","cyclist","sleek","slide"
"UDB_entl/odd-lseg3_slk-2.smt2","945787","unsat","0.006998","0.045992","0.047992"
"UDB_entl/append_sll_cll_slk-11.smt2","945701","unsat","0.006998","0.05699","0.045992"
"UDB_entl/22.tst.smt2","945786","unsat","1.11683","0.046992","0.048992"
"UDB_entl/dll2-spaghetti-existential.smt2","945726","unsat","2400.02","0.142978","2.79357"
"UDB_entl/append_sll_ls_slk-4.smt2","945687","unsat","0.006998","0.073988","0.048992"
"UDB_entl/append_sll_ls_slk-1.smt2","945668","unsat","0.006998","0.061989","0.046992"
"UDB_entl/skl2-vc04.smt2","945634","unsat","1.9817","0.141977","0.046992"
"UDB_entl/node-dll-rev-dll-entails-dll.smt2","945630","unsat","2400.03","0.091985","0.05999"
"UDB_entl/append_sll_cll_slk-5.smt2","945795","unsat","0.006998","0.067989","0.044992"
"UDB_entl/04.tst.smt2","945725","unsat","0.022995","0.05899","0.057991"
"UDB_entl/append_sll_cll_slk-6.smt2","945789","sat","11.3483","0.067989","0.047992"
"UDB_entl/07.tst.smt2","945796","unsat","0.023995","0.078987","0.048992"
"UDB_entl/lsegex4_slk-6.smt2","945651","unsat","0.023995","0.05999","0.046991"
"UDB_entl/append_sll_cll_slk-4.smt2","945705","unsat","0.006998","0.066989","0.044992"
"UDB_entl/append_sll_cll_slk-7.smt2","945699","unsat","0.006998","0.06299","0.044992"
"UDB_entl/append_sll_cll_slk-10.smt2","945747","unsat","0.007998","0.05999","0.045992"
"UDB_entl/lss-vc01.smt2","945658","unsat","0.006998","0.05399","0.056991"
"UDB_entl/append_sll_ls_slk-7.smt2","945756","unsat","0.007998","0.072988","0.047992"
"UDB_entl/skl3-vc06.smt2","945633","unsat","2400.09","6.75997","0.048991"
"UDB_entl/dll-vc05.smt2","945656","unsat","0.563914","0.12198","0.049991"
"UDB_entl/append_sll_cll_slk-18.smt2","945643","unsat","0.006998","0.06199","0.046992"
"UDB_entl/append_sll_ls_slk-8.smt2","945757","unsat","0.011997","0.05899","0.047992"
"UDB_entl/elseg4_slk-8.smt2","945690","unsat","0.005998","0.05799","0.048992"
"UDB_entl/append_sll_slk-1.smt2","945772","unsat","0.015996","0.048992","0.048991"
"UDB_entl/10.tst.smt2","945697","unsat","0.06099","0.041992","0.050992"
"UDB_entl/dll-spaghetti.smt2","945693","unsat","2400.07","2400.08","13.264"
"UDB_entl/skl3-vc02.smt2","945788","sat","2400.03","1.12583","0.048991"
"UDB_entl/dll-vc04.smt2","945755","sat","3.80442","0.076987","0.045992"
"UDB_entl/dll-entails-node-dll-rev.smt2","945642","sat","2400.1","0.05599","0.066989"
"UDB_entl/dll-vc13.smt2","945631","sat","12.2541","0.087985","0.048992"
"UDB_entl/lsegex4_slk-1.smt2","945706","unsat","2400.01","0.067989","0.045992"
"UDB_entl/append_sll_cll_slk-12.smt2","945696","unsat","0.006998","0.05299","0.048991"
"UDB_entl/dll-rev-entails-dll-mid.smt2","945635","unsat","0.053991","0.083986","0.075988"
"UDB_entl/skl3-vc07.smt2","945723","unsat","2400.09","4.33566","0.050991"
"UDB_entl/tll_slk-7.smt2","945732","unsat","0.006998","0.074987","0.050991"
"UDB_entl/append_dll_slk-10.smt2","945736","unsat","0.045992","0.082986","0.050991"
"UDB_entl/odd-lseg3_slk-5.smt2","945784","unsat","0.58891","0.055991","0.049991"
"UDB_entl/elseg4_slk-1.smt2","945665","unsat","0.006998","0.05999","0.048992"
"UDB_entl/nll-vc05.smt2","945676","unsat","11.6422","0.161974","0.046992"
"UDB_entl/dll-vc03.smt2","945694","unsat","0.014997","0.091985","0.047992"
"UDB_entl/node-tll-tll-entails-tll.smt2","945681","unsat","2400.01","0.067988","0.073988"
"UDB_entl/tll_slk-8.smt2","945779","unsat","0.007997","0.078987","0.045992"
"UDB_entl/08.tst.smt2","945648","unsat","0.023995","0.048991","0.046992"
"UDB_entl/odd-lseg3_slk-4.smt2","945759","sat","51.2472","0.050991","0.047992"
"UDB_entl/append_sll_cll_slk-9.smt2","945770","unsat","0.010998","0.05899","0.044992"
"UDB_entl/append_dll_slk-2.smt2","945689","unsat","0.006998","0.050992","0.045992"
"UDB_entl/skl3-vc03.smt2","945724","unsat","2.84857","6.90295","0.047992"
"UDB_entl/dll-entails-dll-rev.smt2","945737","unsat","2400.08","0.070988","0.05899"
"UDB_entl/16.tst.smt2","945659","unsat","0.097984","0.049991","0.077987"
"UDB_entl/tll_slk-6.smt2","945662","unsat","0.006998","0.065989","0.045992"
"UDB_entl/dll-vc12.smt2","945777","sat","304.915","0.130979","0.048992"
"UDB_entl/append_dll_slk-5.smt2","945738","unsat","0.006998","0.063989","0.046992"
"UDB_entl/nll-vc14.smt2","945743","sat","2400.08","0.284955","0.046992"
"UDB_entl/11.tst.smt2","945728","unsat","0.074988","0.043993","0.050991"
"UDB_entl/tll_slk-5.smt2","945780","unsat","0.006998","0.06199","0.049991"
"UDB_entl/skl3-vc09.smt2","945673","unsat","2400.03","5.58015","0.048992"
"UDB_entl/skl2-vc01.smt2","945713","unsat","0.077988","0.067989","0.045992"
"UDB_entl/elseg4_slk-2.smt2","945729","unsat","0.008998","0.050991","0.048992"
"UDB_entl/append_sll_ls_slk-2.smt2","945753","unsat","0.006998","0.05999","0.045992"
"UDB_entl/lsegex4_slk-2.smt2","945683","sat","0.272958","0.05799","0.049992"
"UDB_entl/06.tst.smt2","945703","unsat","0.022995","0.05899","0.05599"
"UDB_entl/odd-lseg3_slk-3.smt2","945754","unsat","0.007998","0.052991","0.045992"
"UDB_entl/append_dll_slk-4.smt2","945758","unsat","0.007998","0.05999","0.046992"
"UDB_entl/dll2-rev-entails-dll2.smt2","945710","unsat","2400.06","0.05699","0.065989"
"UDB_entl/skl3-vc04.smt2","945708","unsat","2400.01","2.99754","0.047992"
"UDB_entl/node-node-dll-entails-dll.smt2","945652","unsat","0.037993","0.082986","0.05999"
"UDB_entl/append_sll_slk-4.smt2","945692","unsat","0.005998","0.048991","0.048992"
"UDB_entl/append_sll_slk-7.smt2","945639","unsat","0.007998","0.05899","0.045992"
"UDB_entl/tree-pp-rev-entails-tree-pp.smt2","945691","unsat","2400.01","0.089985","0.06099"
"UDB_entl/dll-vc07.smt2","945685","unsat","0.053991","0.092985","0.045992"
"UDB_entl/nll-vc03.smt2","945735","unsat","2400.01","0.177972","0.046992"
"UDB_entl/tll_slk-2.smt2","945686","unsat","0.005998","0.05899","0.045992"
"UDB_entl/nll-vc10.smt2","945670","unsat","2.48762","0.331949","0.048991"
"UDB_entl/dll-vc10.smt2","945750","unsat","2400.05","0.139978","0.045992"
"UDB_entl/append_sll_cll_slk-15.smt2","945782","sat","11.3293","0.06199","0.045992"
"UDB_entl/append_dll_slk-7.smt2","945674","unsat","0.030994","0.06499","0.047992"
"UDB_entl/nll-vc06.smt2","945722","sat","2400.03","0.374942","0.049991"
"UDB_entl/dll-vc09.smt2","945628","unsat","0.152976","0.118981","0.046991"
"UDB_entl/dll-vc08.smt2","945660","unsat","1247.07","0.159975","0.044992"
"UDB_entl/dll-entails-node-node-dll.smt2","945760","sat","230.454","0.181971","0.06199"
"UDB_entl/nll-vc12.smt2","945678","unsat","0.066988","0.098984","0.048992"
"UDB_entl/append_sll_slk-5.smt2","945637","unsat","0.005998","0.048991","0.046992"
"UDB_entl/odd-lseg3_slk-6.smt2","945776","sat","708.747","0.06499","0.045992"
"UDB_entl/append_dll_slk-12.smt2","945684","unsat","0.008998","0.071988","0.046992"
"UDB_entl/19.tst.smt2","945672","unsat","0.006998","0.086986","0.045992"
"UDB_entl/append_sll_cll_slk-13.smt2","945783","unsat","0.007998","0.05899","0.047992"
"UDB_entl/append_sll_cll_slk-14.smt2","945731","unsat","0.006998","0.057991","0.048992"
"UDB_entl/dll-vc11.smt2","945798","unsat","28.7736","0.117981","0.049991"
"UDB_entl/dll-entails-dll0+.smt2","945797","unsat","0.041993","0.065989","0.059989"
"UDB_entl/nll-vc08.smt2","945764","unsat","4.98524","0.45193","0.047992"
"UDB_entl/13.tst.smt2","945629","unsat","0.036993","0.039993","0.05799"
"UDB_entl/elseg4_slk-3.smt2","945714","sat","14.8117","0.054991","0.046992"
"UDB_entl/nll-vc07.smt2","945748","unsat","0.074988","0.165973","0.049992"
"UDB_entl/odd-lseg3_slk-1.smt2","945627","sat","5.41817","0.045992","0.047991"
"UDB_entl/skl3-vc10.smt2","945734","unsat","2400.1","0.337947","0.047991"
"UDB_entl/append_sll_slk-2.smt2","945640","unsat","0.006998","0.045992","0.047991"
"UDB_entl/odd-lseg3_slk-7.smt2","945680","unsat","0.006998","0.041992","0.046992"
"UDB_entl/dll-vc01.smt2","945769","unsat","0.007998","0.076988","0.046991"
"UDB_entl/append_sll_cll_slk-8.smt2","945707","unsat","0.007998","0.074987","0.051991"
"UDB_entl/20.tst.smt2","945677","unsat","0.023995","0.046992","0.046992"
"UDB_entl/dll-vc02.smt2","945771","unsat","0.009998","0.072988","0.049991"
"UDB_entl/append_dll_slk-1.smt2","945768","unsat","0.022996","0.053991","0.046992"
"UDB_entl/tll_slk-12.smt2","945632","unsat","0.007998","0.080987","0.047992"
"UDB_entl/elseg4_slk-6.smt2","945675","unsat","0.028995","0.065989","0.048991"
"UDB_entl/09.tst.smt2","945717","unsat","0.028995","0.076987","0.048992"
"UDB_entl/tll_slk-11.smt2","945657","unsat","0.006998","0.065989","0.046992"
"UDB_entl/05.tst.smt2","945745","unsat","0.021996","0.05599","0.05599"
"UDB_entl/lss-vc03.smt2","945704","unsat","0.048992","0.086985","0.054991"
"UDB_entl/append_sll_cll_slk-1.smt2","945666","unsat","0.007998","0.065989","0.045992"
"UDB_entl/nll-vc04.smt2","945655","unsat","2400.09","0.456929","0.046992"
"UDB_entl/skl3-vc01.smt2","945766","unsat","87.5647","0.099983","0.048992"
"UDB_entl/append_dll_slk-8.smt2","945718","unsat","0.008998","0.05599","0.046992"
"UDB_entl/dll2-entails-dll2-rev.smt2","945733","unsat","2400.09","0.05499","0.074987"
"UDB_entl/lss-vc02.smt2","945792","unsat","0.019996","0.075988","0.05899"
"UDB_entl/skl2-vc03.smt2","945721","unsat","2400.09","32.627","0.049991"
"UDB_entl/tll-pp-rev-entails-tll-pp.smt2","945679","unsat","2400.04","0.114981","0.078987"
"UDB_entl/lsegex4_slk-3.smt2","945649","unsat","0.005998","0.06399","0.047992"
"UDB_entl/nll-vc01.smt2","945682","unsat","2400.06","0.117981","0.049992"
"UDB_entl/lsegex4_slk-5.smt2","945661","unsat","0.029995","0.061989","0.047992"
"UDB_entl/nll-vc11.smt2","945773","unsat","0.031995","0.181971","0.047992"
"UDB_entl/append_dll_slk-6.smt2","945711","unsat","0.006998","0.053991","0.047992"
"UDB_entl/tll-pp-entails-tll-pp-rev.smt2","945746","unsat","2400.07","0.131979","0.078987"
"UDB_entl/dll-spaghetti-existential.smt2","945749","unsat","2400.05","0.346947","1.56576"
"UDB_entl/17.tst.smt2","945650","unsat","0.174973","30.7883","0.078987"
"UDB_entl/append_sll_slk-3.smt2","945793","unsat","0.005998","0.047991","0.048992"
"UDB_entl/append_sll_cll_slk-3.smt2","945761","unsat","0.006998","0.06499","0.047992"
"UDB_entl/append_sll_cll_slk-16.smt2","945641","unsat","0.006998","0.054991","0.047991"
"UDB_entl/21.tst.smt2","945644","unsat","0.027995","0.048991","0.047991"
"UDB_entl/elseg4_slk-5.smt2","945730","unsat","0.025995","0.061989","0.051991"
"UDB_entl/tll_slk-9.smt2","945763","unsat","0.006998","0.070988","0.048992"
"UDB_entl/append_sll_slk-6.smt2","945720","unsat","0.005998","0.053991","0.044992"
"UDB_entl/append_sll_cll_slk-2.smt2","945698","unsat","0.006998","0.064989","0.045992"
"UDB_entl/nll-vc16.smt2","945752","sat","2400.06","0.25796","0.047992"
"UDB_entl/tll_slk-4.smt2","945774","unsat","0.008998","0.074988","0.047992"
"UDB_entl/append_sll_cll_slk-17.smt2","945671","unsat","0.006998","0.061989","0.047992"
"UDB_entl/elseg4_slk-9.smt2","945636","unsat","0.022996","0.064989","0.047992"
"UDB_entl/dll-vc06.smt2","945785","unsat","428.611","0.172973","0.045992"
"UDB_entl/tll-ravioli-existential.smt2","945695","unsat","0.006998","0.344946","56.3834"
"UDB_entl/tll-entails-node-tll-tll.smt2","945781","sat","2400.05","0.130979","0.073988"
"UDB_entl/append_sll_ls_slk-3.smt2","945667","unsat","0.007998","0.061989","0.044993"
"UDB_entl/18.tst.smt2","945778","unsat","0.05999","0.06099","0.061989"
"UDB_entl/append_sll_slk-8.smt2","945700","unsat","0.008998","0.048992","0.045992"
"UDB_entl/dll-rev-entails-dll.smt2","945767","unsat","2400.03","0.065989","0.05799"
"UDB_entl/append_dll_slk-11.smt2","945653","unsat","0.006998","0.070988","0.045992"
"UDB_entl/tll-ravioli.smt2","945740","unsat","0.005998","2400.06","94.9946"
"UDB_entl/append_dll_slk-3.smt2","945663","unsat","0.006998","0.049991","0.049991"
"UDB_entl/03.tst.smt2","945647","unsat","0.023996","0.06099","0.06199"
"UDB_entl/nll-vc02.smt2","945669","unsat","2400.09","0.113982","0.048992"
"UDB_entl/nll-vc15.smt2","945727","sat","2400.04","0.148977","0.047992"
"UDB_entl/tll_slk-10.smt2","945762","unsat","0.007998","0.063989","0.045992"
"UDB_entl/tll_slk-3.smt2","945794","unsat","0.006998","0.071988","0.048992"
"UDB_entl/02.tst.smt2","945654","unsat","0.023995","0.05899","0.049992"
"UDB_entl/append_sll_ls_slk-5.smt2","945664","unsat","0.006998","0.063989","0.044992"
"UDB_entl/01.tst.smt2","945688","unsat","0.023995","0.045992","0.06299"
"UDB_entl/12.tst.smt2","945742","unsat","0.05799","0.041993","0.05699"
"UDB_entl/tree-pp-entails-tree-pp-rev.smt2","945646","unsat","2400.01","0.067989","0.072988"
"UDB_entl/elseg4_slk-7.smt2","945739","unsat","0.077987","0.082986","0.046992"
"UDB_entl/nll-vc13.smt2","945709","sat","2400.09","0.176972","0.045992"
"UDB_entl/append_sll_ls_slk-6.smt2","945790","unsat","0.006998","0.066989","0.048992"
"UDB_entl/skl3-vc08.smt2","945719","unsat","2400.07","44.6652","0.047991"
"UDB_entl/tll_slk-1.smt2","945715","unsat","0.006998","0.06299","0.046992"
"UDB_entl/14.tst.smt2","945744","unsat","0.036993","0.043992","0.066989"
"UDB_entl/skl3-vc05.smt2","945645","unsat","2400.02","44.0933","0.047992"
"UDB_entl/tll_slk-13.smt2","945716","unsat","2400.09","0.18797","0.049992"
"UDB_entl/lsegex4_slk-4.smt2","945765","unsat","0.007998","0.072988","0.045992"
"UDB_entl/append_dll_slk-9.smt2","945791","unsat","0.009998","0.063989","0.048991"
"UDB_entl/skl2-vc02.smt2","945741","unsat","0.827873","0.074988","0.051992"
"UDB_entl/15.tst.smt2","945775","unsat","0.033994","0.084986","0.05899"
"UDB_entl/dll2-spaghetti.smt2","945751","unsat","2400.01","0.221965","29.5385"
"UDB_entl/elseg4_slk-4.smt2","945638","sat","28.0357","0.06199","0.046992"
"UDB_entl/dll-mid-entails-dll-rev.smt2","945712","unsat","2400.02","0.090985","0.05899"
"UDB_entl/nll-vc09.smt2","945702","unsat","0.347946","0.207968","0.050991"
